price_date,symbol,company_name,open_price,close_price,high_price,low_price,volume
2025-09-12,AAPL,Apple Inc.,229.22,234.07,234.51,229.02,55824216
2025-09-12,AMZN,Amazon.com Inc.,230.35,228.15,230.79,226.29,38496218
2025-09-12,GOOGL,Alphabet Inc.,240.37,240.8,242.08,238.0,26771610
2025-09-12,MSFT,Microsoft Corp.,506.65,509.9,512.55,503.85,23624884
2025-09-12,TSLA,Tesla Inc.,370.94,395.94,396.69,370.24,168156391
2025-09-15,AAPL,Apple Inc.,237.0,236.7,238.19,235.03,42699524
2025-09-15,AMZN,Amazon.com Inc.,230.63,231.43,233.73,230.32,33243328
2025-09-15,GOOGL,Alphabet Inc.,244.66,251.61,252.41,244.66,58383796
2025-09-15,MSFT,Microsoft Corp.,508.79,515.36,515.47,507.0,17143786
2025-09-15,TSLA,Tesla Inc.,423.13,410.04,425.7,402.43,163823667
2025-09-16,AAPL,Apple Inc.,237.18,238.15,241.22,236.32,63421099
2025-09-16,AMZN,Amazon.com Inc.,232.94,234.05,235.9,232.23,38203912
2025-09-16,GOOGL,Alphabet Inc.,252.08,251.16,253.04,249.47,34109720
2025-09-16,MSFT,Microsoft Corp.,516.88,509.04,517.23,508.6,19711922
2025-09-16,TSLA,Tesla Inc.,414.5,421.62,423.25,411.43,104285721
2025-09-17,AAPL,Apple Inc.,238.97,238.99,240.1,237.73,46508017
2025-09-17,AMZN,Amazon.com Inc.,233.77,231.62,234.3,228.71,42815230
2025-09-17,GOOGL,Alphabet Inc.,251.22,249.53,251.6,246.28,34107992
2025-09-17,MSFT,Microsoft Corp.,510.62,510.02,511.29,505.93,15816585
2025-09-17,TSLA,Tesla Inc.,415.75,425.86,428.31,409.67,106133532
2025-09-18,AAPL,Apple Inc.,239.97,237.88,241.2,236.65,44249576
2025-09-18,AMZN,Amazon.com Inc.,232.5,231.23,233.48,228.79,37931738
2025-09-18,GOOGL,Alphabet Inc.,251.68,252.03,253.99,249.8,31239474
2025-09-18,MSFT,Microsoft Corp.,511.49,508.45,513.07,507.66,18913696
2025-09-18,TSLA,Tesla Inc.,428.87,416.85,432.22,416.56,90454509
2025-09-19,AAPL,Apple Inc.,241.23,245.5,246.3,240.21,163741314
2025-09-19,AMZN,Amazon.com Inc.,232.37,231.48,234.16,229.7,97943172
2025-09-19,GOOGL,Alphabet Inc.,253.25,254.72,256.0,251.81,55571424
2025-09-19,MSFT,Microsoft Corp.,510.56,517.93,519.3,510.31,52474093
2025-09-19,TSLA,Tesla Inc.,421.82,426.07,429.47,421.72,93131034
2025-09-22,AAPL,Apple Inc.,248.3,256.08,256.64,248.12,105517416
2025-09-22,AMZN,Amazon.com Inc.,230.56,227.63,230.57,227.51,45914506
2025-09-22,GOOGL,Alphabet Inc.,254.43,252.53,255.78,250.3,32290538
2025-09-22,MSFT,Microsoft Corp.,515.59,514.45,517.74,512.55,20009314
2025-09-22,TSLA,Tesla Inc.,431.11,434.21,444.98,429.13,97108777
2025-09-23,AAPL,Apple Inc.,255.88,254.43,257.34,253.58,60275187
2025-09-23,AMZN,Amazon.com Inc.,227.83,220.71,227.86,220.07,70956193
2025-09-23,GOOGL,Alphabet Inc.,253.04,251.66,254.36,250.48,26628016
2025-09-23,MSFT,Microsoft Corp.,513.8,509.23,514.59,507.31,19799580
2025-09-23,TSLA,Tesla Inc.,439.88,425.85,440.97,423.72,83422691
2025-09-24,AAPL,Apple Inc.,255.22,252.31,255.74,251.04,42303710
2025-09-24,AMZN,Amazon.com Inc.,224.15,220.21,224.56,219.45,49509033
2025-09-24,GOOGL,Alphabet Inc.,251.66,247.14,252.35,246.44,28201003
2025-09-24,MSFT,Microsoft Corp.,510.38,510.15,512.48,506.92,13533711
2025-09-24,TSLA,Tesla Inc.,429.83,442.79,444.21,429.03,93133570
2025-09-25,AAPL,Apple Inc.,253.21,256.87,257.17,251.71,55202075
2025-09-25,AMZN,Amazon.com Inc.,220.06,218.15,220.67,216.47,52226328
2025-09-25,GOOGL,Alphabet Inc.,244.4,245.79,246.49,240.74,31020383
2025-09-25,MSFT,Microsoft Corp.,508.3,507.03,510.01,505.04,15786468
2025-09-25,TSLA,Tesla Inc.,435.24,423.39,435.35,419.08,96746426
2025-09-26,AAPL,Apple Inc.,254.1,255.46,257.6,253.78,46076258
2025-09-26,AMZN,Amazon.com Inc.,219.08,219.78,221.05,218.02,41650098
2025-09-26,GOOGL,Alphabet Inc.,247.07,246.54,249.42,245.97,18503194
2025-09-26,MSFT,Microsoft Corp.,510.06,511.46,513.94,506.62,16213129
2025-09-26,TSLA,Tesla Inc.,428.3,440.4,440.47,421.02,101628160
2025-09-29,AAPL,Apple Inc.,254.56,254.43,255.0,253.01,40127687
2025-09-29,AMZN,Amazon.com Inc.,220.08,222.17,222.6,219.3,44259177
2025-09-29,GOOGL,Alphabet Inc.,247.85,244.05,251.15,242.77,32505777
2025-09-29,MSFT,Microsoft Corp.,511.5,514.6,516.85,508.88,17617775
2025-09-29,TSLA,Tesla Inc.,444.35,443.21,450.98,439.5,79491510
2025-09-30,AAPL,Apple Inc.,254.86,254.63,255.92,253.11,37704259
2025-09-30,AMZN,Amazon.com Inc.,222.03,219.57,222.24,217.89,48396369
2025-09-30,GOOGL,Alphabet Inc.,242.81,243.1,243.29,239.25,34724346
2025-09-30,MSFT,Microsoft Corp.,513.24,517.95,518.16,509.66,19728229
2025-09-30,TSLA,Tesla Inc.,441.52,444.72,445.0,433.12,74357960
2025-10-01,AAPL,Apple Inc.,255.04,255.45,258.79,254.93,48713940
2025-10-01,AMZN,Amazon.com Inc.,217.36,220.63,222.15,216.61,43933834
2025-10-01,GOOGL,Alphabet Inc.,240.75,244.9,246.3,238.61,31658234
2025-10-01,MSFT,Microsoft Corp.,514.8,519.71,520.51,511.69,22632336
2025-10-01,TSLA,Tesla Inc.,443.8,459.46,462.29,440.75,98122285
2025-10-02,AAPL,Apple Inc.,256.58,257.13,258.18,254.15,42630239
2025-10-02,AMZN,Amazon.com Inc.,221.01,222.41,222.81,218.95,41258586
2025-10-02,GOOGL,Alphabet Inc.,245.15,245.69,246.81,242.3,25483298
2025-10-02,MSFT,Microsoft Corp.,517.64,515.74,521.6,510.68,21222886
2025-10-02,TSLA,Tesla Inc.,470.54,436.0,470.75,435.57,137008950
2025-10-03,AAPL,Apple Inc.,254.67,258.02,259.24,253.95,49155614
2025-10-03,AMZN,Amazon.com Inc.,223.44,219.51,224.2,219.34,43639033
2025-10-03,GOOGL,Alphabet Inc.,244.49,245.35,246.3,241.66,30249559
2025-10-03,MSFT,Microsoft Corp.,517.1,517.35,520.49,515.0,15112321
2025-10-03,TSLA,Tesla Inc.,443.29,429.83,446.77,416.58,133188180
2025-10-06,AAPL,Apple Inc.,257.99,256.69,259.07,255.05,44664118
2025-10-06,AMZN,Amazon.com Inc.,221.0,220.9,221.73,216.03,43690876
2025-10-06,GOOGL,Alphabet Inc.,244.78,250.43,251.32,244.58,28894653
2025-10-06,MSFT,Microsoft Corp.,518.61,528.57,531.03,518.2,21388581
2025-10-06,TSLA,Tesla Inc.,440.75,453.25,453.55,436.69,85324878
2025-10-07,AAPL,Apple Inc.,256.81,256.48,257.4,255.43,31955776
2025-10-07,AMZN,Amazon.com Inc.,220.88,221.78,222.89,220.17,31194678
2025-10-07,GOOGL,Alphabet Inc.,248.27,245.76,250.44,245.52,23181285
2025-10-07,MSFT,Microsoft Corp.,528.29,523.98,529.8,521.44,14615208
2025-10-07,TSLA,Tesla Inc.,447.82,433.09,452.68,432.45,102296082
2025-10-08,AAPL,Apple Inc.,256.52,258.06,258.52,256.11,36496895
2025-10-08,AMZN,Amazon.com Inc.,222.92,225.22,226.73,221.19,46685985
2025-10-08,GOOGL,Alphabet Inc.,244.96,244.62,246.01,243.82,21307104
2025-10-08,MSFT,Microsoft Corp.,523.28,524.85,526.95,523.09,13363447
2025-10-08,TSLA,Tesla Inc.,437.57,438.69,441.33,425.23,71192128
2025-10-09,AAPL,Apple Inc.,257.81,254.04,258.0,253.14,38322012
2025-10-09,AMZN,Amazon.com Inc.,225.0,227.74,228.21,221.75,46412122
2025-10-09,GOOGL,Alphabet Inc.,244.47,241.53,244.76,239.15,27892086
2025-10-09,MSFT,Microsoft Corp.,522.34,522.4,524.33,517.4,18343602
2025-10-09,TSLA,Tesla Inc.,431.81,435.54,436.35,426.18,69339928
2025-10-10,AAPL,Apple Inc.,254.94,245.27,256.38,244.0,61999098
2025-10-10,AMZN,Amazon.com Inc.,226.21,216.37,228.25,216.0,72367511
2025-10-10,GOOGL,Alphabet Inc.,241.43,236.57,244.09,235.84,33180323
2025-10-10,MSFT,Microsoft Corp.,519.64,510.96,523.58,509.63,24133840
2025-10-10,TSLA,Tesla Inc.,436.54,413.49,443.13,411.45,112107870
2025-10-13,AAPL,Apple Inc.,249.38,247.66,249.69,245.56,38142942
2025-10-13,AMZN,Amazon.com Inc.,217.7,220.07,220.68,217.04,37809650
2025-10-13,GOOGL,Alphabet Inc.,240.21,244.15,244.5,239.71,24995028
2025-10-13,MSFT,Microsoft Corp.,516.41,514.05,516.41,511.68,14284238
2025-10-13,TSLA,Tesla Inc.,423.53,435.9,436.89,419.7,79552785
2025-10-14,AAPL,Apple Inc.,246.6,247.77,248.85,244.7,35477986
2025-10-14,AMZN,Amazon.com Inc.,215.56,216.39,219.32,212.6,45665580
2025-10-14,GOOGL,Alphabet Inc.,241.23,245.45,247.12,240.51,22111572
2025-10-14,MSFT,Microsoft Corp.,510.23,513.57,515.28,506.0,14684300
2025-10-14,TSLA,Tesla Inc.,426.79,429.24,434.2,417.86,72669438
2025-10-15,AAPL,Apple Inc.,249.49,249.34,251.82,247.47,33893611
2025-10-15,AMZN,Amazon.com Inc.,216.62,215.57,217.71,212.66,45909469
2025-10-15,GOOGL,Alphabet Inc.,247.25,251.03,252.11,245.99,27007690
2025-10-15,MSFT,Microsoft Corp.,514.96,513.43,517.19,510.0,14694654
2025-10-15,TSLA,Tesla Inc.,434.9,435.15,440.51,426.33,71558185
2025-10-16,AAPL,Apple Inc.,248.25,247.45,249.04,245.13,39776974
2025-10-16,AMZN,Amazon.com Inc.,215.67,214.47,218.59,212.81,42414591
2025-10-16,GOOGL,Alphabet Inc.,251.77,251.46,256.96,250.1,27997159
2025-10-16,MSFT,Microsoft Corp.,512.58,511.61,516.85,508.13,15559565
2025-10-16,TSLA,Tesla Inc.,434.73,428.75,439.35,421.31,77189889
2025-10-17,AAPL,Apple Inc.,248.02,252.29,253.38,247.27,49146961
2025-10-17,AMZN,Amazon.com Inc.,214.56,213.04,214.8,211.03,45986944
2025-10-17,GOOGL,Alphabet Inc.,250.76,253.3,254.22,247.81,29671629
2025-10-17,MSFT,Microsoft Corp.,509.04,513.58,515.48,507.31,19867765
2025-10-17,TSLA,Tesla Inc.,425.5,439.31,441.46,423.6,89331578
2025-10-20,AAPL,Apple Inc.,255.89,262.24,264.38,255.63,90483029
2025-10-20,AMZN,Amazon.com Inc.,213.88,216.48,216.69,213.59,38882819
2025-10-20,GOOGL,Alphabet Inc.,254.69,256.55,257.33,254.23,22350155
2025-10-20,MSFT,Microsoft Corp.,514.61,516.79,518.7,513.43,14665620
